metric	value
baseline_ref	068d3371ac3300303d6c7c99a97ed884182c81e4
repository_file_count	137
repository_total_bytes	3272574
deterministic_compressed_archive_bytes	801677
v_file_count	23
v_total_bytes	1433390
v_comment_bytes	408155
v_noncomment_bytes	1025235
v_comment_percent	28.47
v_comment_block_count	1464
v_comment_physical_lines	4332
v_default_comment_count	579
v_exception_comment_count	885
v_multiline_comment_count	875
v_over_120_block_count	133
v_archaeology_block_count	25
root_v_bytes	1323508
gate_v_bytes	80465
e2e_v_bytes	29417
current_fcb_bytes	769725
other_review_bytes	490345
root_markdown_bytes	158291
tool_bytes	229353
build_file_bytes	128278
plugin_bytes	50610
generated_artifact_bytes	1559
rocq_definition_count	811
rocq_theorem_lemma_corollary_count	1329
rocq_example_count	307
rocq_instance_count	1
rocq_module_count	38
deleted_file_count	0
deleted_declaration_count	0
baseline_sha256	023804e456c780a07a1c499ebca15ae80888233ea93a807cdf95e2cc4c3c0950
