metric	baseline	candidate	delta	delta_percent
repository_file_count	137	106	-31	-22.63
repository_total_bytes	3272574	2622715	-649859	-19.86
deterministic_compressed_archive_bytes	801677	570395	-231282	-28.85
v_file_count	23	23	+0	+0.00
v_total_bytes	1433390	1083226	-350164	-24.43
v_comment_bytes	408155	61676	-346479	-84.89
v_noncomment_bytes	1025235	1021550	-3685	-0.36
v_comment_percent	28.47	5.69	-22.78	-80.01
v_comment_block_count	1464	708	-756	-51.64
v_comment_physical_lines	4332	708	-3624	-83.66
v_default_comment_count	579	708	+129	+22.28
v_exception_comment_count	885	0	-885	-100.00
v_multiline_comment_count	875	0	-875	-100.00
v_over_120_block_count	133	0	-133	-100.00
v_archaeology_block_count	25	0	-25	-100.00
root_v_bytes	1323508	1036305	-287203	-21.70
gate_v_bytes	80465	27949	-52516	-65.27
e2e_v_bytes	29417	18972	-10445	-35.51
current_fcb_bytes	769725	768841	-884	-0.11
other_review_bytes	490345	156904	-333441	-68.00
root_markdown_bytes	158291	142981	-15310	-9.67
tool_bytes	229353	283413	+54060	+23.57
build_file_bytes	128278	124158	-4120	-3.21
plugin_bytes	50610	50610	+0	+0.00
generated_artifact_bytes	1559	1559	+0	+0.00
rocq_definition_count	811	809	-2	-0.25
rocq_theorem_lemma_corollary_count	1329	1323	-6	-0.45
rocq_example_count	307	307	+0	+0.00
rocq_instance_count	1	1	+0	+0.00
rocq_module_count	38	38	+0	+0.00
deleted_file_count	0	31	+31	+0.00
deleted_declaration_count	0	8	+8	+0.00
