# command: make -j1 check
# builder: fido-perf-v1; BuildKit max-parallelism=1
# cold: project stages forced (prover, emit); stable image/toolchain layers primed on this builder
# hot: immediate repeat, same source and builder
# clock: /proc/uptime, 10ms resolution; elapsed_ms is cumulative from that run start
mode	checkpoint	elapsed_ms
cold	start	0
cold	pytools	170
cold	hostpython	2800
cold	diet	5040
cold	mutants	10520
cold	prove	145350
cold	e2e	191470
cold	check	226500
hot	start	0
hot	pytools	200
hot	hostpython	2720
hot	diet	4420
hot	mutants	9430
hot	prove	10670
hot	e2e	12090
hot	check	14700
