# CLASS: GENERATED_VIEW — fixtures grouped by the exact program they analyze; derived deterministically from witnessreject-sentences.tsv alone and byte-compared by the gates; raw attribution only, no derived judgment.
basis	program_key	decl_count	total_secs	claim_families	largest_decl	largest_secs
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:b1315aa801a7	3	4.153	CAUSE_VIEW,EXACT_READER,VERDICT_ONLY	o_cx_typed_payload	2.756
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:83127280c219	2	2.308	CAUSE_VIEW,EXACT_READER	r_unbound_app_dep	1.226
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:d958ea918e4b	2	1.471	CAUSE_VIEW,VERDICT_ONLY	r_cx_mix_cause	1.394
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:93e22a27a3c6	2	1.254	CAUSE_VIEW,VERDICT_ONLY	c_neg_int8_core	1.185
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:43eeca9d61fe	5	1.197	GROUP_VIEW,VERDICT_ONLY	r_redecl_payload	1.015
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:c4abf00b282c	1	1.105	EXACT_READER	r_redecl_app_dep	1.105
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:bf1eac37726d	3	0.846	CAUSE_VIEW,EXACT_READER,VERDICT_ONLY	mf_println_legal_no_cause	0.526
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:4ac17493eeb9	1	0.589	EXACT_READER	r_redecl_type_dep	0.589
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:49c304cf1bd6	3	0.564	CAUSE_VIEW,EXACT_READER,VERDICT_ONLY	r_iota_cause	0.282
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:b264ca6458f2	2	0.447	CAUSE_VIEW,VERDICT_ONLY	r_main_arity_payload	0.436
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:c26827be1f9f	2	0.314	CAUSE_VIEW,VERDICT_ONLY	r_type_value_cause	0.304
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:6494479e9fce	2	0.206	CAUSE_VIEW,VERDICT_ONLY	mf_stmt_lit_invalid_row	0.200
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:22f6c077278b	2	0.161	EXACT_READER	r_invalidid_app_dep	0.087
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:41bd7c550a7f	1	0.080	VERDICT_ONLY	o_short_two_origins	0.080
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:d9c8a23ac041	1	0.073	VERDICT_ONLY	o_short_multi_use	0.073
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:169ec44c3c90	1	0.071	VERDICT_ONLY	r_cx1	0.071
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:cd2fe4349488	1	0.070	VERDICT_ONLY	r_cx_str	0.070
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:1b7f640fe64f	1	0.066	VERDICT_ONLY	o_short_use	0.066
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:95fa0a9015db	1	0.066	VERDICT_ONLY	o_short_mixed	0.066
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:b16fcd76bf80	2	0.043	VERDICT_ONLY	o_short_blank_new	0.029
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:381e644bf14a	1	0.041	VERDICT_ONLY	o_var_later	0.041
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:cfdf396eef80	1	0.032	VERDICT_ONLY	o_const_inherited	0.032
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:0e334ea66391	1	0.030	VERDICT_ONLY	r_short_dup_use	0.030
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:b550d3e753da	1	0.028	VERDICT_ONLY	r_const_count	0.028
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:78ca46446674	1	0.026	VERDICT_ONLY	o_main_shadowed	0.026
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:5017d9f8c04c	1	0.022	VERDICT_ONLY	r_const_self	0.022
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:9b9299ef30f9	1	0.021	VERDICT_ONLY	r_var_self	0.021
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:7a2c2a02b429	1	0.020	VERDICT_ONLY	r_cx_int8	0.020
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:83f8f303d6e9	1	0.019	VERDICT_ONLY	r_cx_bool	0.019
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:aca9c56b2318	1	0.019	VERDICT_ONLY	r_main_as_type	0.019
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:73ef8a051fac	1	0.017	VERDICT_ONLY	o_var_uintptr	0.017
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:b916f52129fd	1	0.016	VERDICT_ONLY	r_var_true	0.016
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:bdd69fe1d009	1	0.016	VERDICT_ONLY	c_neg_complex	0.016
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:c6534d920347	1	0.015	VERDICT_ONLY	r_neg_bool	0.015
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:f0e4ff2af7bf	1	0.015	VERDICT_ONLY	r_neg_string	0.015
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:f939be015889	1	0.015	VERDICT_ONLY	r_conv0	0.015
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:5e73de323a39	1	0.014	VERDICT_ONLY	r_neg_int8min	0.014
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:802dede6d116	1	0.014	VERDICT_ONLY	r_cx3	0.014
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:a6450cd7b5f2	1	0.014	VERDICT_ONLY	r_const_noinit	0.014
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:c8e9614974e8	1	0.014	VERDICT_ONLY	r_conv2	0.014
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	inline:78d8ba65f4c5	1	0.013	VERDICT_ONLY	r_short_rhsneg	0.013
