# CLASS: RAW_MEASUREMENT — full declaration-rolled sentence profile (every profiled sentence attributed, never top-N); the retained raw product the generated program and population views derive from.
basis	file	line_start	line_end	name	kind	secs	tactic	goal_head	program_key	population	notes
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	0	0	(file preamble)	preamble	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	3	3	Stdlib	From	0.243				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	5	5	Fido	From	0.429				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	7	7	ListNotations.	Import	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	9	9	PI	Module	0.004				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	11	11	BN	Module	0.153				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	13	13	AN	Module	0.272				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	15	15	RP	Module	0.483				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	17	17	PL	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	18	18	NEG	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	19	19	ILIT	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	20	20	SLIT	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	21	21	CONV	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	22	22	CPLX	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	23	23	APP	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	24	24	TT	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	25	25	FF	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	27	27	rmod	Definition	0.011		ModuleSpec		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	29	29	rmain	Definition	0.001		FilePath.T		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	31	31	prog	Definition	0.0		list		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	35	35	reject	Ltac	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	37	37	compileok	Ltac	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	39	39	outside	Ltac	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	41	41	OID	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	42	42	VNAME	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	43	43	NE1	Notation	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	46	46	result_of_compile	Definition	0.0		Syntax.Program		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	48	48	rres	Definition	0.0		Syntax.Program		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	51	51	rprobe	Definition	0.0		Syntax.Program		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	54	54	dsites	Definition	0.0		Syntax.Program		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	57	57	pfacts	Definition	0.0		Syntax.Program		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	60	60	cprobe	Definition	0.0		Syntax.Program		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	62	62	oprobe	Definition	0.0		Syntax.Program		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	65	65	rres_observe	Definition	0.0		Syntax.Program		SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	69	69	obs_direct	Ltac	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	76	76	obs_disp	Ltac	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	79	79	obs_eq	Ltac	0.0				SHARED_PROGRAM_OR_HELPER	
0b9206b3cca692872798231fd43f3168134600ad3a749b8f6209f6f0d421be9f	e2e/WitnessRejectPrelude.v	84	84	obs_seal	Ltac	0.0				SHARED_PROGRAM_OR_HELPER	
